Datetime,CH4_ppm
2/22/17 8:57,2.12281
2/22/17 8:58,2.12768
2/22/17 8:59,2.13088
2/22/17 9:00,2.13607
2/22/17 9:01,2.1277
2/22/17 9:02,2.10908
2/22/17 9:03,2.09629
2/22/17 9:04,2.10548
2/22/17 9:05,2.09722
2/22/17 9:06,2.10035
2/22/17 9:07,2.09662
2/22/17 9:08,2.09309
2/22/17 9:09,2.08704
2/22/17 9:10,2.09119
2/22/17 9:11,2.09852
2/22/17 9:12,2.10467
2/22/17 9:13,2.11459
2/22/17 9:14,2.14845
2/22/17 9:15,2.09941
2/22/17 9:16,2.08913
2/22/17 9:17,2.09332
2/22/17 9:18,2.09783
2/22/17 9:19,2.09784
2/22/17 9:20,2.09897
2/22/17 9:21,2.0995
2/22/17 9:22,2.0999
2/22/17 9:23,2.1075
2/22/17 9:24,2.1035
2/22/17 9:25,2.10863
2/22/17 9:26,2.1031
2/22/17 9:27,2.09504
2/22/17 9:28,2.09444
2/22/17 9:29,2.10157
2/22/17 9:30,2.10485
2/22/17 9:31,2.10758
2/22/17 9:32,2.1047
2/22/17 9:33,2.09987
2/22/17 9:34,2.09761
2/22/17 9:35,2.09579
2/22/17 9:36,2.10019
2/22/17 9:37,2.09933
2/22/17 9:38,2.09784
2/22/17 9:39,2.10224
2/22/17 9:40,2.10458
2/22/17 9:41,2.10399
2/22/17 9:42,2.10253
2/22/17 9:43,2.10353
2/22/17 9:44,2.1015
2/22/17 9:45,2.16798
2/22/17 9:46,2.10977
2/22/17 9:47,2.08478
2/22/17 9:48,2.08651
2/22/17 9:49,2.0809
2/22/17 9:50,2.07856
2/22/17 9:51,2.07897
2/22/17 9:52,2.07289
2/22/17 9:53,2.06935
2/22/17 9:54,2.06728
2/22/17 9:55,2.06974
2/22/17 9:56,2.07008
2/22/17 9:57,2.07094
2/22/17 9:58,2.06855
2/22/17 9:59,2.06914
2/22/17 10:00,2.07259
2/22/17 10:01,2.07139
2/22/17 10:02,2.06819
2/22/17 10:03,2.07353
2/22/17 10:04,2.06199
2/22/17 10:05,2.06498
2/22/17 10:06,2.06503
2/22/17 10:07,2.06252
2/22/17 10:08,2.07197
2/22/17 10:09,2.06936
2/22/17 10:10,2.0659
2/22/17 10:11,2.06463
2/22/17 10:12,2.06306
2/22/17 10:13,2.05911
2/22/17 10:14,2.06389
2/22/17 10:15,2.06376
2/22/17 10:16,2.06329
2/22/17 10:17,2.06774
2/22/17 10:18,2.08534
2/22/17 10:19,2.06649
2/22/17 10:20,2.05917
2/22/17 10:21,2.0561
2/22/17 10:22,2.04424
2/22/17 10:23,2.0433
2/22/17 10:24,2.04217
2/22/17 10:25,2.0423
2/22/17 10:26,2.04457
2/22/17 10:27,2.04103
2/22/17 10:28,2.03937
2/22/17 10:29,2.04117
2/22/17 10:30,2.04217
2/22/17 10:31,2.04376
